,Age,Sex,Interest,Clicks,Purchased
0,63.86528993075285,M,7.0,2,0.0
1,47.618445476773545,M,1.0,1,36.14280140291134
3,67.3544557504824,M,9.0,1,0.0
4,53.58114367290186,M,4.0,1,0.0
5,51.13690573519163,M,7.0,2,195.72553542666572
6,27.319761765418647,M,7.0,1,134.1977559534842
8,65.99187572644392,M,7.0,0,0.0
10,17.51727240719361,M,8.0,1,18.531051540663363
11,53.78022033513363,M,5.0,0,0.0
12,30.09108609603562,M,7.0,1,42.038562922838246
13,40.085267480909096,F,9.0,3,210.63907458781654
14,27.65516949284739,M,7.0,6,395.9598465323105
15,42.56004786401515,M,9.0,5,220.54958714624448
16,53.2612067014294,F,9.0,1,99.45919236758003
17,32.4093475129627,M,2.0,0,0.0
18,20.104591533445817,F,2.0,0,0.0
19,42.2246925267402,F,2.0,1,122.8143445141286
20,38.740189501465025,M,8.0,8,1101.2905583569432
22,50.672594353818376,F,9.0,1,165.40168081752813
24,24.188300994542214,F,6.0,2,0.0
26,49.80079400349246,M,10.0,6,381.66464848825706
28,40.923047741279206,F,5.0,2,0.0
29,66.7501861223516,Unclassified,5.0,0,0.0
31,44.62656180238769,M,7.0,2,0.0
32,51.293890224974206,Unclassified,6.0,0,0.0
34,51.981109583459066,F,5.0,0,0.0
35,40.175238130814066,M,3.0,2,200.14506893478668
36,28.75078436340114,F,5.0,2,183.80308525415694
38,55.53189157893647,M,10.0,3,203.92013723148952
39,40.21117334048267,Unclassified,3.0,0,0.0
40,70.43871366704398,M,8.0,2,23.734732033329806
41,36.762589006649755,F,6.0,2,0.0
42,37.953553870994156,F,10.0,7,0.0
43,42.10482316278342,Unclassified,5.0,1,81.32652792419314
44,22.24139497595899,F,7.0,2,250.1614606572545
46,56.617159535827454,M,2.0,0,0.0
47,64.47946389222324,Unclassified,9.0,0,0.0
51,37.93391613067595,M,7.0,0,0.0
52,27.260983025441504,Unclassified,8.0,1,0.0
55,45.29037559249282,Unclassified,2.0,0,0.0
56,46.11850179157609,F,6.0,0,0.0
57,33.299233964720955,F,6.0,3,404.0296061775609
58,67.58595866383968,M,7.0,4,97.22565752474715
59,25.10668970528716,Unclassified,3.0,0,0.0
60,31.930427472275756,Unclassified,4.0,0,0.0
61,22.532579913307334,M,8.0,5,494.77924520776776
63,44.77773035640254,M,3.0,0,0.0
64,70.20689739639018,M,3.0,0,0.0
65,54.94341031405132,F,9.0,4,431.4141908299847
66,53.489866587003725,F,9.0,4,0.0
68,48.043508066850926,F,5.0,3,253.3451593688085
70,33.57442498380779,Unclassified,7.0,1,65.3730689966633
74,20.14288792885371,F,1.0,1,173.70275671992803
75,64.3668603086842,F,7.0,6,1246.073505546461
76,61.36975010794484,F,7.0,3,459.93892884758304
77,61.524457361973894,M,7.0,1,0.0
80,63.45955090422854,M,8.0,6,157.08453335157975
81,43.43895766324409,F,5.0,3,283.6549670638869
82,55.777359403509614,M,1.0,0,0.0
83,60.92938379778973,F,8.0,0,0.0
